,name_best_model,test_AUC,test_ACC,nb_informative_var,nb_selected_representations,selected_representations,selected_shema,nb_loop_rep_selection,run_time_on_dataset
Adiac,Schema_One_each_N_features_30000_N_trees_0_,0.5369759260403086,0.629156010230179,18750,3,"['TS', 'CUMSUM', 'DCUMSUM']",0,2,32149.43413209915
ArrowHead,Schema_All_in_one_N_features_30000_N_trees_0_,0.8753905602101518,0.7085714285714285,47,2,"['ACF', 'D']",1,3,969.6138093471527
Beef,Schema_All_in_one_N_features_30000_N_trees_0_,0.6166666666666667,0.3333333333333333,1,2,"['TS', 'ACF']",1,2,731.6128513813019
BeetleFly,Schema_All_in_one_N_features_30000_N_trees_0_,0.71,0.65,2,3,"['TS', 'D', 'DD']",1,2,652.2279975414276
BirdChicken,Schema_All_in_one_N_features_30000_N_trees_0_,0.99,0.9,14,3,"['TS', 'D', 'DD']",1,2,664.58083319664
Car,Schema_All_in_one_N_features_30000_N_trees_0_,0.9850452445432372,0.8833333333333333,527,3,"['TS', 'D', 'DD']",1,2,1036.3989124298096
CBF,Schema_All_in_one_N_features_30000_N_trees_0_,0.9974129885619032,0.9477777777777778,18,2,"['TS', 'D']",1,2,645.581362247467
ChlorineConcentration,Schema_All_in_one_N_features_30000_N_trees_0_,0.7478552654214199,0.6557291666666667,183,3,"['TS', 'D', 'DD']",1,2,2838.88728928566
CinCECGtorso,Schema_All_in_one_N_features_30000_N_trees_0_,0.9956682125899349,0.9420289855072463,23,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,1246.5507905483246
Coffee,Schema_One_each_N_features_30000_N_trees_0_,1.0,1.0,25,3,"['TS', 'CUMSUM', 'DCUMSUM']",0,2,641.2480521202087
Computers,Schema_All_in_one_N_features_30000_N_trees_0_,0.859264,0.772,2633,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,5070.266339063644
CricketX,Schema_All_in_one_N_features_30000_N_trees_0_,0.6031278859862983,0.658974358974359,17702,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,9511.115488767624
CricketY,Schema_All_in_one_N_features_30000_N_trees_0_,0.5266898719273102,0.6717948717948717,14229,3,"['TS', 'D', 'DD']",1,2,10227.459914922714
CricketZ,Schema_All_in_one_N_features_30000_N_trees_0_,0.6041911733515283,0.6794871794871795,15850,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,8993.52731180191
