,Schema_All_in_one_N_features_30000_N_trees_0_,Schema_One_each_N_features_30000_N_trees_0_,Best_CG_Expe,Best_CG_Score
Adiac,0.7468030690537084,0.629156010230179,Schema_One_each_N_features_30000_N_trees_0_,0.629156010230179
ArrowHead,0.7085714285714285,0.6857142857142857,Schema_All_in_one_N_features_30000_N_trees_0_,0.7085714285714285
Beef,0.3333333333333333,0.3333333333333333,Schema_All_in_one_N_features_30000_N_trees_0_,0.3333333333333333
BeetleFly,0.65,0.5,Schema_All_in_one_N_features_30000_N_trees_0_,0.65
BirdChicken,0.9,0.85,Schema_All_in_one_N_features_30000_N_trees_0_,0.9
Car,0.8833333333333333,0.8833333333333333,Schema_All_in_one_N_features_30000_N_trees_0_,0.8833333333333333
CBF,0.9477777777777778,0.91,Schema_All_in_one_N_features_30000_N_trees_0_,0.9477777777777778
ChlorineConcentration,0.6557291666666667,0.6544270833333333,Schema_All_in_one_N_features_30000_N_trees_0_,0.6557291666666667
CinCECGtorso,0.9420289855072463,0.9195652173913044,Schema_All_in_one_N_features_30000_N_trees_0_,0.9420289855072463
Coffee,1.0,1.0,Schema_One_each_N_features_30000_N_trees_0_,1.0
Computers,0.772,0.78,Schema_All_in_one_N_features_30000_N_trees_0_,0.772
CricketX,0.658974358974359,0.6487179487179487,Schema_All_in_one_N_features_30000_N_trees_0_,0.658974358974359
CricketY,0.6717948717948717,0.6461538461538462,Schema_All_in_one_N_features_30000_N_trees_0_,0.6717948717948717
CricketZ,0.6794871794871795,0.7256410256410256,Schema_All_in_one_N_features_30000_N_trees_0_,0.6794871794871795
DiatomSizeReduction,0.6078431372549019,0.6078431372549019,Schema_All_in_one_N_features_30000_N_trees_0_,0.6078431372549019
DistalPhalanxOutlineAgeGroup,0.7122302158273381,0.7410071942446043,Schema_All_in_one_N_features_30000_N_trees_0_,0.7122302158273381
DistalPhalanxOutlineCorrect,0.8007246376811594,0.7644927536231884,Schema_All_in_one_N_features_30000_N_trees_0_,0.8007246376811594
DistalPhalanxTW,0.6258992805755396,0.7050359712230215,Schema_All_in_one_N_features_30000_N_trees_0_,0.6258992805755396
Earthquakes,0.7769784172661871,0.7697841726618705,Schema_All_in_one_N_features_30000_N_trees_0_,0.7769784172661871
ECG200,0.77,0.79,Schema_One_each_N_features_30000_N_trees_0_,0.79
ECG5000,0.9366666666666666,0.9411111111111111,Schema_All_in_one_N_features_30000_N_trees_0_,0.9366666666666666
ECGFiveDays,0.49709639953542395,0.49709639953542395,Schema_All_in_one_N_features_30000_N_trees_0_,0.49709639953542395
ElectricDevices,0.7481519906626897,0.7354428738166257,Schema_All_in_one_N_features_30000_N_trees_0_,0.7481519906626897
FaceAll,0.7550295857988165,0.7502958579881657,Schema_One_each_N_features_30000_N_trees_0_,0.7502958579881657
FaceFour,0.4318181818181818,0.42045454545454547,Schema_All_in_one_N_features_30000_N_trees_0_,0.4318181818181818
FacesUCR,0.8078048780487805,0.8375609756097561,Schema_All_in_one_N_features_30000_N_trees_0_,0.8078048780487805
FiftyWords,0.6637362637362637,0.6571428571428571,Schema_All_in_one_N_features_30000_N_trees_0_,0.6637362637362637
Fish,0.92,0.88,Schema_All_in_one_N_features_30000_N_trees_0_,0.92
